species_code,common_name,season,modeled_region,start_year,end_year,start_date,end_date,rsquared,beta0
dickci,Dickcissel,breeding,north_america,2012,2022,06-14,08-02,0.8756803830809811,0.33152245267057473
dobplo1,Double-banded Plover,breeding,aus_nz,2014,2022,10-04,12-27,0.6175672142457855,0.7136720250416176
doccor,Double-crested Cormorant,breeding,north_america,2012,2022,05-31,07-12,0.5892970045427381,0.7018559351615397
dowwoo,Downy Woodpecker,resident,north_america,2012,2022,01-25,05-10,0.9129506635612472,0.05219680635078301
ducfly,Dusky-capped Flycatcher,breeding,north_america,2012,2022,04-26,07-26,0.8348638806274782,0.00878075231767095
dunlin,Dunlin,nonbreeding,north_america,2011,2021,12-13,02-15,0.6460739061760965,0.7315278900912137
dusfly,Dusky Flycatcher,breeding,north_america,2012,2022,06-21,07-19,0.859626746477005,0.16698679007230793
dusgro,Dusky Grouse,resident,north_america,2012,2022,03-15,08-02,0.6708202103012516,0.39713126457501663
eardov1,Eared Dove,breeding,south_america,2014,2021,10-18,03-01,0.6995581500838463,0.10925288361342864
easblu,Eastern Bluebird,breeding,north_america,2012,2022,05-17,08-23,0.8741785613975002,-0.08998168015245434
easkin,Eastern Kingbird,breeding,north_america,2012,2022,06-07,07-26,0.9206850358394196,0.12398197797781292
easmea,Eastern Meadowlark,breeding,north_america,2012,2022,04-19,07-19,0.8715281034581731,0.16310049159035525
easowl1,Eastern Screech-Owl,resident,north_america,2011,2021,12-06,05-10,0.8420669322751245,0.08177795429683139
easpho,Eastern Phoebe,breeding,north_america,2012,2022,05-17,08-09,0.8979910679738607,0.03045433583059221
easros1,Eastern Rosella,resident,aus_nz,2014,2022,07-19,10-18,0.849018664326685,0.4553523979596498
eastow,Eastern Towhee,breeding,north_america,2012,2022,06-07,09-13,0.8713229387603755,-0.09640777852248908
easwhi1,Eastern Whipbird,resident,aus_nz,2014,2022,06-07,10-25,0.7287777643651329,1.3194141709848766
easwpw1,Eastern Whip-poor-will,breeding,north_america,2012,2022,05-31,08-02,0.6462369312233602,1.9311913286640705
eawpew,Eastern Wood-Pewee,breeding,north_america,2012,2022,06-14,08-02,0.8843209505362744,0.35054578708863954
egygoo,Egyptian Goose,resident,north_america,2012,2022,08-09,12-27,0.6474800253390071,1.2178848087510767
eleeup1,Elegant Euphonia,resident,north_america,2011,2021,11-29,03-29,0.7383446843768985,0.6074177890766489
eletro,Elegant Trogon,resident,north_america,2012,2022,02-01,05-17,0.6766930932995839,-1.226972098887926
eucdov,Eurasian Collared-Dove,resident,north_america,2011,2021,12-20,03-15,0.8801382307565597,0.0910011641134202
eugplo,European Golden-Plover,nonbreeding,iberia,2013,2021,12-27,01-25,0.49502093006874426,1.1672061098485491
eurbla,Eurasian Blackbird,breeding,iberia,2014,2022,04-26,08-16,0.8358773623389858,-0.07067512159151604
eurjay1,Eurasian Jay,resident,turkey_plus,2016,2022,01-04,12-27,0.7859387665706261,0.01373802158645033
eurrob1,European Robin,breeding,iberia,2014,2022,04-19,08-09,0.8136344317578235,0.28238530185484567
eursta,European Starling,breeding,north_america,2012,2022,04-19,08-30,0.860832042785651,0.2596287091923239
eutspa,Eurasian Tree Sparrow,resident,north_america,2011,2021,11-01,02-15,0.759175256510941,0.7803834785234738
evegro,Evening Grosbeak,breeding,north_america,2012,2022,05-31,08-30,0.779343869088299,-0.10036160805441038
fepowl,Ferruginous Pygmy-Owl,resident,north_america,2011,2021,12-20,03-08,0.8506157668412696,0.5562638230728423
fiediu1,Fire-eyed Diucon,breeding,south_america,2014,2021,11-01,03-08,0.6451680042469308,0.8655508192924656
fiespa,Field Sparrow,breeding,north_america,2012,2022,05-24,09-13,0.905707312148922,-0.03494219986318124
fiscro,Fish Crow,breeding,north_america,2012,2022,04-05,08-30,0.8348154310943577,0.16962841452367464
flaowl,Flammulated Owl,breeding,north_america,2012,2022,05-31,07-05,0.5781929726102614,0.8887614508561374
flsjay,Florida Scrub-Jay,resident,north_america,2011,2021,11-29,04-12,0.6749564586222132,0.01162259262895991
forrav1,Forest Raven,resident,aus_nz,2014,2022,09-20,11-22,0.6599319102550373,0.11670095041229037
forter,Forster's Tern,breeding,north_america,2012,2022,06-07,07-12,0.7328903997238718,1.1428913723886591
fotfly,Fork-tailed Flycatcher,breeding,south_america,2014,2021,11-22,01-11,0.7371274667440919,0.41706759701790286
foxspa,Fox Sparrow,nonbreeding,north_america,2011,2021,12-27,02-15,0.8438176604792955,-0.2567235019592005
fragul,Franklin's Gull,breeding,north_america,2012,2022,06-07,07-12,0.7385243841487956,0.1442756914101676
fuwduc,Fulvous Whistling-Duck,breeding,north_america,2012,2022,05-10,08-16,0.6280615137166672,0.7110029680902269
gadwal,Gadwall,breeding,north_america,2012,2022,06-07,07-26,0.8520733858349429,0.3323399466885274
galah,Galah,resident,aus_nz,2014,2022,07-19,09-27,0.8437238500218215,0.06132637561529811
gamqua,Gambel's Quail,resident,north_america,2012,2022,01-25,05-10,0.8755487599247744,0.20986703052762848
gartro1,Gartered Trogon,resident,north_america,2012,2022,01-25,05-10,0.8913411571493293,-0.16506171903673533
gbbgul,Great Black-backed Gull,breeding,north_america,2012,2022,05-24,09-06,0.6610609532683288,0.8836568291103595
gbwwre1,Gray-breasted Wood-Wren,resident,south_america,2015,2022,09-20,12-20,0.7338921934467887,0.96581389931114
gchwar,Golden-cheeked Warbler,breeding,north_america,2012,2022,04-19,05-31,0.7232263326411976,0.777938813678379
gcrwar,Golden-crowned Warbler,resident,north_america,2012,2022,01-25,05-31,0.8144326135292845,0.7253634136674392
giahum1,Giant Hummingbird,breeding,south_america,2014,2021,09-06,02-08,0.5368104010126735,1.6493188021586993
gilfli,Gilded Flicker,resident,north_america,2011,2021,12-06,03-15,0.7969769442562173,0.897363772398028
gilwoo,Gila Woodpecker,resident,north_america,2011,2021,12-06,03-22,0.896652206200586,-0.05683337995825053
gloibi,Glossy Ibis,breeding,north_america,2012,2022,05-03,07-19,0.6763339017646782,0.29072078748768565
glwgul,Glaucous-winged Gull,nonbreeding,north_america,2011,2021,12-06,03-01,0.723042699247982,0.31975401237193146
gnbman,Green-breasted Mango,breeding,north_america,2012,2022,01-11,10-11,0.7785424076608453,-0.1100825011748634
gnttow,Green-tailed Towhee,breeding,north_america,2012,2022,06-21,08-02,0.8302395830625948,0.2738594560552468
gnwtea,Green-winged Teal,nonbreeding,north_america,2011,2021,12-27,01-25,0.7467529684703033,0.20093537415967672
gockin,Golden-crowned Kinglet,breeding,north_america,2012,2022,05-24,08-23,0.8031681754793424,0.6289533907803301
gocspa,Golden-crowned Sparrow,nonbreeding,north_america,2011,2021,11-22,03-15,0.886855538824519,0.0985770368214568
goftyr1,Golden-faced Tyrannulet,resident,south_america,2015,2022,07-19,11-08,0.7503426217404576,0.9521397995930748
gofwoo,Golden-fronted Woodpecker,resident,north_america,2012,2022,01-11,05-10,0.882234307727544,0.01904248440089837
goleag,Golden Eagle,breeding,north_america,2012,2022,06-07,08-23,0.84640357796360155,0.8021789091720922
goltan1,Golden Tanager,resident,south_america,2015,2022,07-19,10-11,0.733111682802037,0.44992456797195945
golwhi1,Golden Whistler,breeding,aus_nz,2013,2021,12-27,02-08,0.7127680108693751,1.468252058204199
gowwar,Golden-winged Warbler,breeding,north_america,2012,2022,06-14,07-26,0.6201931346907327,2.126753509826305
graspa,Grasshopper Sparrow,breeding,north_america,2012,2022,06-07,07-19,0.8825124409080634,0.4650181173493439
grawar,Grace's Warbler,breeding,north_america,2012,2022,05-17,08-30,0.79597801469228,0.12374754312360256
grbani,Groove-billed Ani,breeding,north_america,2012,2022,05-03,08-23,0.8567137671406561,-0.0699715789775825
grbfir1,Green-backed Firecrown,breeding,south_america,2014,2021,11-22,04-26,0.6249656582853956,-0.1938834187517648
grbher3,Great Blue Heron,breeding,north_america,2012,2022,05-10,06-28,0.7800644132459691,-0.00760897929060445
grcfly,Great Crested Flycatcher,breeding,north_america,2012,2022,06-07,08-09,0.926444020149468,-0.19501516783450243
greani1,Greater Ani,resident,south_america,2015,2022,09-13,12-20,0.7710814209178831,-0.11927432486423942
grecor,Great Cormorant,nonbreeding,north_america,2011,2021,11-08,03-15,0.8641923895834845,0.40632665724013867
grecou1,Greater Coucal,resident,india_se_asia,2015,2022,04-26,07-19,0.8915877479924059,0.4510983701956081
greegr,Great Egret,breeding,north_america,2012,2022,05-03,09-06,0.768356071506823,0.37639677400832255
grehon1,Green Honeycreeper,resident,north_america,2012,2022,08-09,10-11,0.6683501443274223,1.361442442763718
grekis,Great Kiskadee,resident,north_america,2011,2021,11-22,02-08,0.8610660496875678,-0.16238229654418965
grepew,Greater Pewee,breeding,north_america,2012,2022,05-10,08-30,0.802380423532086,0.15736181076207334
greroa,Greater Roadrunner,resident,north_america,2012,2022,01-25,05-10,0.8407450487783997,0.4318842211649609
gresca,Greater Scaup,nonbreeding,north_america,2011,2021,12-13,01-25,0.557980930201739,0.8475781486314553
gretea1,Gray Teal,resident,aus_nz,2014,2022,06-28,09-27,0.7218660315879608,0.5322886053216556
grethr1,Great Thrush,resident,south_america,2015,2022,01-04,05-03,0.6545947796714747,0.5727998698426404
gretit1,Great Tit,resident,iberia,2013,2021,11-29,03-29,0.8624937310006258,-0.22481154100804576
gretit4,Japanese Tit,resident,japan,2015,2021,11-29,03-22,0.7476551045422063,0.7616774144649895
greyel,Greater Yellowlegs,breeding,north_america,2012,2022,06-07,06-14,0.6571884957808541,-0.3369070679476247
grhowl,Great Horned Owl,resident,north_america,2011,2021,10-25,04-05,0.8500693245103004,0.7031066748688447
grnher,Green Heron,breeding,north_america,2012,2022,05-31,08-23,0.9107138870244768,0.05362693818665878
grnjay,Green Jay,resident,north_america,2011,2021,10-25,02-08,0.9086780414915874,0.2665614539792108
grnkin,Green Kingfisher,resident,north_america,2012,2022,08-09,12-20,0.8331866079522438,0.3318412201819863
grnpar,Green Parakeet,resident,north_america,2012,2022,02-01,07-26,0.6768235163969852,1.6665557394789106
grnwoo3,Iberian Green Woodpecker,resident,iberia,2014,2022,01-11,03-29,0.8069146023298375,0.29419976500207234
grpfin1,Great Pampa-Finch,resident,south_america,2015,2022,08-09,12-06,0.7571665334508757,0.6162073341849803
grsfly1,Gray Silky-flycatcher,resident,north_america,2011,2021,12-20,05-03,0.6934533823709134,-0.12454807567653096
grtgra,Great-tailed Grackle,breeding,north_america,2012,2022,05-03,07-12,0.8733813060681477,0.2088027472525148
grycat,Gray Catbird,breeding,north_america,2012,2022,06-07,07-26,0.8944252798890732,-0.07082927367682018
gryfan1,Gray Fantail,breeding,aus_nz,2013,2021,11-29,03-15,0.7987233550579919,0.4341399626293073
gryfin1,Grassland Yellow-Finch,breeding,south_america,2014,2021,11-08,02-15,0.7306835460384669,0.430212745993514
gryfly,Gray Flycatcher,breeding,north_america,2012,2022,06-14,07-05,0.7337360888497693,0.4942229027074777
gryger1,Gray Gerygone,resident,aus_nz,2014,2022,05-31,09-20,0.820628225622094,0.36484778185676064
gryhaw2,Gray Hawk,breeding,north_america,2012,2022,04-12,09-06,0.8601447133775152,0.2971811853738998
gryjay,Canada Jay,resident,north_america,2011,2021,12-20,02-22,0.8621253543897136,0.11654058755123388
grykin,Gray Kingbird,breeding,north_america,2012,2022,05-31,08-02,0.874762620367446,-0.5792230747214854
grypar,Gray Partridge,resident,north_america,2011,2021,09-20,01-04,0.7438213594311097,1.574379238398805
grytre1,Gray Treepie,resident,taiwan,2012,2022,01-25,05-03,0.9136380362312668,-0.05997680808720206
gryvir,Gray Vireo,breeding,north_america,2012,2022,05-24,07-05,0.7166203797257047,0.6834380335731531
grywag,Gray Wagtail,nonbreeding,india_se_asia,2014,2021,11-08,02-15,0.7765072675893544,-0.08990554959480469
gubter1,Gull-billed Tern,breeding,north_america,2012,2022,05-24,08-16,0.63838774089485,1.36863087999094
gwfgoo,Greater White-fronted Goose,nonbreeding,north_america,2011,2021,12-13,01-18,0.7271610022321828,0.7327024903648388
gycful1,Morrison's Fulvetta,resident,taiwan,2011,2021,12-13,04-05,0.7350656873187706,1.5687838500758515
gycthr,Gray-cheeked Thrush,breeding,north_america,2012,2022,06-14,07-19,0.7197351254379092,0.6509176713203343
gycwoo1,Gray-capped Pygmy Woodpecker,resident,taiwan,2011,2021,12-06,05-03,0.7622588254391083,0.46425610971519754
hadibi1,Hadada Ibis,resident,south_africa,2016,2022,03-15,07-05,0.7908116622227129,-0.5069261713981654
haiwoo,Hairy Woodpecker,resident,north_america,2012,2022,03-29,05-10,0.8976903057209602,-0.00692854166329454
hamfly,Hammond's Flycatcher,breeding,north_america,2012,2022,06-14,07-26,0.8230917807345729,0.4464244957802435
harduc,Harlequin Duck,nonbreeding,north_america,2012,2022,02-01,03-29,0.779215365506724,0.9076519437514364
harspa,Harris's Sparrow,nonbreeding,north_america,2011,2021,11-29,04-19,0.8144111148629748,0.4928788869534135
heegul,Heermann's Gull,nonbreeding,north_america,2012,2022,08-16,10-25,0.6717751052700027,0.6737711942250026
henspa,Henslow's Sparrow,breeding,north_america,2012,2022,05-17,08-09,0.8784374721487493,-0.1295767701937839
heptan,Hepatic Tanager,breeding,north_america,2012,2022,05-31,09-20,0.822387524297928,-0.00718022354466659
hergul,Herring Gull,nonbreeding,north_america,2011,2021,12-06,03-08,0.7878406627748958,0.2503879553159124
herthr,Hermit Thrush,breeding,north_america,2012,2022,06-07,08-16,0.846022204487862,0.04080622118832246
herwar,Hermit Warbler,breeding,north_america,2012,2022,06-14,07-12,0.81940814987805,0.6049060929788697
higmot1,Andean Motmot,resident,south_america,2015,2022,01-25,05-10,0.709505546102121,1.3894403572719911
hilmyn,Common Hill Myna,resident,india_se_asia,2014,2021,12-20,03-22,0.6272198043734194,-0.14098771030355264
hoared,Hoary Redpoll,breeding,north_america,2012,2022,05-10,07-05,0.7718802234071834,0.5592705950570181
hobcuc1,Horsfield's Bronze-Cuckoo,breeding,aus_nz,2013,2021,10-04,02-22,0.7975523367136633,0.3786611280418819
hohgre1,Hoary-headed Grebe,breeding,aus_nz,2013,2021,11-01,03-15,0.7766739489387873,1.0288046425954045
hoomer,Hooded Merganser,nonbreeding,north_america,2011,2021,12-20,01-25,0.8488805413250136,0.08517401132870915
hooori,Hooded Oriole,breeding,north_america,2012,2022,04-19,08-02,0.9162779073924844,0.01565843591431048
hoowar,Hooded Warbler,breeding,north_america,2012,2022,05-31,07-19,0.8604783003881017,0.26203548094228757
horgre,Horned Grebe,nonbreeding,north_america,2011,2021,12-20,02-08,0.776783404203983,0.832979833103934
horlar,Horned Lark,breeding,north_america,2012,2022,06-07,08-09,0.7774075445569938,1.2976653276314485
houcro1,House Crow,resident,india_se_asia,2015,2022,05-17,08-30,0.719554562728653,0.02564726597214803
houfin,House Finch,resident,north_america,2012,2022,03-01,05-10,0.895710129572981,8.868671876299148e-4
houspa,House Sparrow,resident,north_america,2012,2022,01-18,05-10,0.9055953017043205,-0.01327106717040369
houswi1,House Swift,resident,taiwan,2012,2022,03-01,05-10,0.8875747793952059,-0.18171276656070573
houwre,House Wren,breeding,north_america,2012,2022,06-07,08-09,0.9001315947447169,0.3736204632557382
hrshaw,Harris's Hawk,resident,north_america,2011,2021,10-18,02-08,0.7546393415607943,1.164517053129161
hutvir,Hutton's Vireo,resident,north_america,2011,2021,12-06,04-26,0.8582067409356129,-0.49121197994222815
ibechi2,Iberian Chiffchaff,breeding,iberia,2014,2022,05-03,06-21,0.7650873956242503,0.634662427701921
ibgshr1,Iberian Gray Shrike,resident,iberia,2014,2022,07-05,12-27,0.7924032091338167,0.6772227042138981
incdov,Inca Dove,resident,north_america,2011,2021,11-29,05-10,0.8698974700535679,-0.13998680601901292
indbun,Indigo Bunting,breeding,north_america,2012,2022,06-07,08-02,0.8688502944374292,0.23257257373558765
indpit1,Indian Pitta,nonbreeding,india_se_asia,2014,2021,11-01,03-15,0.6469943252314377,0.9260208962231654
indrob1,Indian Robin,resident,india_se_asia,2015,2022,04-26,06-28,0.800280449414422,0.2052691503720309
indrol2,Indian Roller,resident,india_se_asia,2014,2021,11-22,02-15,0.7536788993000565,1.2542465460395325
inghor2,Indian Gray Hornbill,resident,india_se_asia,2015,2022,01-18,06-14,0.8490325976658238,-0.18904548620734896
ivbwoo1,Ivory-billed Woodcreeper,resident,north_america,2012,2022,01-25,06-07,0.8944973733385976,0.16875298354839471
jerbus2,Jerdon's Bushlark,resident,india_se_asia,2015,2022,03-08,07-19,0.7366427583191105,0.97778402843183565
jerlea1,Jerdon's Leafbird,resident,india_se_asia,2014,2021,10-18,03-01,0.7526928944148853,0.18965101753412872
junowl1,Jungle Owlet,resident,india_se_asia,2015,2022,01-25,03-15,0.7353765176823726,-0.07262529843144218
juntit1,Juniper Titmouse,resident,north_america,2012,2022,01-18,04-26,0.8034232194947778,0.15020359796032665
karpri1,Karoo Prinia,resident,south_africa,2016,2022,07-12,09-27,0.676100099350044,0.7060253599909476
kebtou1,Keel-billed Toucan,resident,north_america,2011,2021,11-22,03-22,0.8687211494052257,0.20228884525580113
kelgul,Kelp Gull,resident,aus_nz,2014,2022,06-07,11-22,0.5566453191640705,0.48928798978857696
kenwar,Kentucky Warbler,breeding,north_america,2012,2022,05-31,07-26,0.8566277316122058,0.643818682278586
killde,Killdeer,breeding,north_america,2012,2022,05-10,07-05,0.8973318509822658,0.38225681114356425
kinrai4,King Rail,breeding,north_america,2012,2022,05-17,07-19,0.5799129920181925,1.2464726732908462
labwoo,Ladder-backed Woodpecker,resident,north_america,2011,2021,12-06,05-10,0.8900001036135395,0.5292263668484232
laplon,Lapland Longspur,nonbreeding,north_america,2011,2021,11-29,01-25,0.6891286607899393,1.460789620045763
larbun,Lark Bunting,breeding,north_america,2012,2022,06-14,06-28,0.5512664016033814,2.0108316413844043
larspa,Lark Sparrow,breeding,north_america,2012,2022,05-31,07-12,0.8659606191388273,0.36682505621536055
laugul,Laughing Gull,breeding,north_america,2012,2022,05-10,07-05,0.6773453018543988,0.4759192908903297
laukoo1,Laughing Kookaburra,resident,aus_nz,2014,2022,06-07,08-30,0.8293599760504936,-0.23084300710073843
lawgol,Lawrence's Goldfinch,breeding,north_america,2012,2022,05-31,07-05,0.7497658208229661,0.6550432683276214
lazbun,Lazuli Bunting,breeding,north_america,2012,2022,06-14,07-12,0.87996566613231,0.080430978518653
lbbgul,Lesser Black-backed Gull,nonbreeding,north_america,2011,2021,12-13,03-01,0.5423982045247946,1.2494486771899214
leabit,Least Bittern,breeding,north_america,2012,2022,06-07,07-19,0.762407598633566,0.03983251455983231
leafly,Least Flycatcher,breeding,north_america,2012,2022,06-21,07-12,0.8318644667249812,0.01490649016467147
leagre,Least Grebe,resident,north_america,2011,2021,09-20,01-25,0.8432946425434243,0.5639078742263578
leasan,Least Sandpiper,nonbreeding,north_america,2011,2021,12-13,03-08,0.7249429878853706,0.41610918853080064
leater1,Least Tern,breeding,north_america,2012,2022,05-31,07-19,0.7597541795757273,0.7551609346427124
lecspa,LeConte's Sparrow,breeding,north_america,2012,2022,06-07,08-23,0.7804714294242762,0.24155697859111677
lecthr,LeConte's Thrasher,resident,north_america,2012,2022,01-11,05-24,0.66754788180617175,-0.7424453888007265
lesgol,Lesser Goldfinch,breeding,north_america,2012,2022,05-31,08-30,0.8960413424744897,0.07932934871716578
lessca,Lesser Scaup,nonbreeding,north_america,2011,2021,12-20,01-25,0.5234683520420843,0.39342130884123894
lessts1,Lesser Striped Swallow,breeding,south_africa,2015,2021,08-09,05-17,0.494444453696748,0.968218710612666
lesyel,Lesser Yellowlegs,breeding,north_america,2012,2022,06-07,06-14,0.7045202929884306,0.4851532936120497
lewhon1,Lewin's Honeyeater,resident,aus_nz,2014,2022,01-04,05-10,0.7075178529123396,0.4747788312073765
lewwoo,Lewis's Woodpecker,breeding,north_america,2012,2022,05-31,08-02,0.7773516530015147,0.4660760675313068
libher,Little Blue Heron,breeding,north_america,2012,2022,06-07,07-05,0.7709992139926997,0.11980778907733604
limpki,Limpkin,resident,north_america,2011,2021,11-22,03-29,0.8366246665588067,0.642283429100883
linspa,Lincoln's Sparrow,breeding,north_america,2012,2022,06-14,08-09,0.8226793737972251,-0.02797556553416197
linwoo1,Lineated Woodpecker,resident,south_america,2014,2021,11-22,03-22,0.7777596680020777,0.5209770590127735
lipcor1,Little Pied Cormorant,resident,aus_nz,2014,2022,01-18,05-10,0.7168068586396995,0.26643417141262865
lirplo,Little Ringed Plover,nonbreeding,india_se_asia,2014,2021,11-08,02-15,0.7662097014673988,0.3964912452082768
litrav1,Little Raven,resident,aus_nz,2014,2022,01-25,07-26,0.8284250290153128,0.3732618500386755
livbul1,Light-vented Bulbul,breeding,taiwan,2012,2022,05-03,06-21,0.894869937893466,-0.36667808959459475
lobcur,Long-billed Curlew,breeding,north_america,2012,2022,05-17,06-14,0.647417489626385,1.2852467112052812
lobdow,Long-billed Dowitcher,nonbreeding,north_america,2011,2021,12-27,02-01,0.6574180239937568,0.3693467997203839
lobthr,Long-billed Thrasher,resident,north_america,2012,2022,01-11,04-26,0.787542037032327,0.8688516205944349
loeowl,Long-eared Owl,nonbreeding,north_america,2011,2021,12-13,02-15,0.7291708378528312,0.4991498583611363
logshr,Loggerhead Shrike,breeding,north_america,2012,2022,05-24,07-19,0.8329419299381291,0.4620998892805364
lotduc,Long-tailed Duck,nonbreeding,north_america,2012,2022,02-01,02-22,0.6976810546121901,0.5252113476668848
lotman1,Long-tailed Manakin,resident,north_america,2012,2022,01-25,05-17,0.803938014875422,-0.26749961978751846
lotmea1,Long-tailed Meadowlark,resident,south_america,2015,2022,07-19,09-27,0.7771566796369546,0.40189603966835485
lotshr1,Long-tailed Shrike,nonbreeding,india_se_asia,2014,2021,11-01,03-22,0.8092636669865779,0.5995639863727202
louwat,Louisiana Waterthrush,breeding,north_america,2012,2022,05-24,06-21,0.8819390104782331,0.375248499647837
lucwar,Lucy's Warbler,breeding,north_america,2012,2022,05-10,07-05,0.8118315713711883,0.2250480978248673
macwar,MacGillivray's Warbler,breeding,north_america,2012,2022,06-21,07-19,0.860952660686929,-0.02294061047429573
magfri,Magnificent Frigatebird,breeding,north_america,2012,2022,05-24,09-27,0.6841112377557066,0.8220800507368876
maghum1,Rivoli's Hummingbird,breeding,north_america,2012,2022,04-26,08-16,0.7373086182623549,-1.3686445325017291
magrob,Oriental Magpie-Robin,resident,india_se_asia,2015,2022,01-18,06-07,0.8901323997617865,0.00875520916682278
magwar,Magnolia Warbler,breeding,north_america,2012,2022,06-14,08-02,0.8221936903760143,0.20411549492288356
mallar3,Mallard,breeding,north_america,2012,2022,06-07,08-16,0.8730917607501213,0.3622787083254657
mancuc,Mangrove Cuckoo,resident,north_america,2011,2021,12-13,05-10,0.7219864263416345,-0.24083193263261737
manswa1,Mangrove Swallow,resident,north_america,2011,2021,11-29,03-15,0.7589496670533104,0.6444640460133372
marmur,Marbled Murrelet,resident,north_america,2012,2022,03-29,08-16,0.756524969626599,1.4842295094510851
marwre,Marsh Wren,breeding,north_america,2012,2022,06-14,07-12,0.9013117460259512,0.28716709542284174
maslap1,Masked Lapwing,breeding,aus_nz,2014,2022,08-02,12-20,0.7993740890716073,0.3972001661350174
meapar,Mealy Parrot,resident,north_america,2011,2021,12-06,03-22,0.8366363104384894,0.4551931461812358
melbla1,Melodious Blackbird,resident,north_america,2012,2022,01-11,05-31,0.8834883874401305,0.15020555109770065
merlin,Merlin,breeding,north_america,2012,2022,05-31,07-26,0.8456037214944578,0.1614031940988255
mewgul2,Short-billed Gull,nonbreeding,north_america,2012,2022,02-01,02-15,0.6910768051537111,0.09646940782423172
mexchi,Mexican Chickadee,resident,north_america,2012,2022,05-24,08-30,0.6238095732469298,-0.3625558888889797
mexduc,Mexican Duck,resident,north_america,2011,2021,11-22,03-15,0.6535390346266371,1.0251401744264197
mexjay4,Mexican Jay,resident,north_america,2012,2022,03-22,08-09,0.8838501194372999,-0.377934635772232
miskit,Mississippi Kite,breeding,north_america,2012,2022,06-07,08-09,0.8675079979284636,0.36484446351726046
monpar,Monk Parakeet,resident,north_america,2012,2022,08-23,12-27,0.9009203089115329,0.7932290414751983
monqua,Montezuma Quail,resident,north_america,2012,2022,03-08,08-16,0.7426039004994215,1.6233926015729794
motduc,Mottled Duck,resident,north_america,2011,2021,11-22,03-22,0.8718016509121569,0.273260726434183
moublu,Mountain Bluebird,breeding,north_america,2012,2022,04-26,08-30,0.8827612717793802,0.44268021942198743
mouchi,Mountain Chickadee,breeding,north_america,2012,2022,04-19,09-13,0.8672758806120823,0.01424457721271748
moudov,Mourning Dove,breeding,north_america,2012,2022,05-17,09-06,0.902022790594522,0.04881445311270682
mouela1,Mountain Elaenia,resident,north_america,2012,2022,01-04,05-31,0.6500265939378281,1.2777695499219457
mouqua,Mountain Quail,resident,north_america,2012,2022,03-08,05-24,0.7960450561613467,0.46826683186650386
mouwar,Mourning Warbler,breeding,north_america,2012,2022,06-14,08-09,0.7693510063445841,0.813500288697196
musduc,Muscovy Duck,resident,north_america,2012,2022,01-04,05-10,0.6968618248016445,0.01494708449052535
mutswa,Mute Swan,breeding,north_america,2012,2022,03-08,09-13,0.7182490728880666,0.49065918684863746
naswar,Nashville Warbler,breeding,north_america,2012,2022,06-14,07-12,0.8651479159614351,0.5653350017620837
nehhon2,New Holland Honeyeater,resident,aus_nz,2014,2022,01-04,04-12,0.8161511975424721,0.2101998585572624
neocor,Neotropic Cormorant,resident,north_america,2011,2021,10-04,02-08,0.5660335059976257,0.45303163323438134
nezbel1,New Zealand Bellbird,resident,aus_nz,2014,2022,08-02,12-27,0.4854883350985517,-0.5006530603094781
nezfan1,New Zealand Fantail,resident,aus_nz,2014,2022,03-01,05-10,0.8157302375319763,0.34986319167403235
nezpig2,New Zealand Pigeon,resident,aus_nz,2014,2022,07-26,12-20,0.6323339102409404,1.4902704509202922
nobtyr,Northern Beardless-Tyrannulet,breeding,north_america,2012,2022,03-08,09-27,0.8287320652872234,0.3958390730584256
nohowl,Northern Hawk Owl,nonbreeding,north_america,2011,2021,10-25,03-29,0.5602136645183663,0.4114479488832599
noimin1,Noisy Miner,resident,aus_nz,2014,2022,03-08,07-05,0.8867643333966276,0.04627997591475343
nopowl,Northern Pygmy-Owl,resident,north_america,2011,2021,11-29,03-15,0.8427383461526975,0.3460374929099769
norbob,Northern Bobwhite,resident,north_america,2012,2022,03-22,06-07,0.8328033527218082,0.8415551145033767
norcar,Northern Cardinal,resident,north_america,2012,2022,01-11,05-10,0.9291315084065176,-0.09917768660028609
noremt1,Northern Emerald-Toucanet,resident,north_america,2011,2021,11-15,05-10,0.7331158122628926,0.546969637250464
norfli,Northern Flicker,breeding,north_america,2012,2022,05-17,08-30,0.9013118353767836,-0.3269626381580142
norgan,Northern Gannet,nonbreeding,north_america,2011,2021,10-18,04-26,0.8305338504918369,0.12080188584274185
norgos2,American Goshawk,breeding,north_america,2012,2022,05-03,07-05,0.7770730125386633,0.13669321723534478
norhar2,Northern Harrier,breeding,north_america,2012,2022,06-07,07-05,0.8631441346134582,0.7627033120176707
norjac,Northern Jacana,resident,north_america,2011,2021,11-01,01-18,0.7907051308165083,0.689534680560002
norlap,Northern Lapwing,breeding,iberia,2014,2022,04-26,08-30,0.6108471511946362,1.6622982088890983
normoc,Northern Mockingbird,breeding,north_america,2012,2022,06-07,08-09,0.9065328245985224,-0.10376894905157376
norpar,Northern Parula,breeding,north_america,2012,2022,06-21,07-26,0.8626542742308798,0.0959261822825562
norpin,Northern Pintail,nonbreeding,north_america,2011,2021,12-20,01-18,0.6687624477819926,0.3254600545287611
norsho,Northern Shoveler,nonbreeding,north_america,2011,2021,12-20,01-25,0.7303377098809214,0.1870939016219724
norshr4,Northern Shrike,nonbreeding,north_america,2011,2021,11-29,01-25,0.8784321761134888,0.4695122863685504
